Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Stream,Url_spotify,Url_youtube,Comments,Artist,Composer
0,-1.382735944,-3.879068055,-0.496387964,2.750638265,-0.286698658,-0.286764295,-0.758810753,-1.265448647,-0.865951317,0,-0.295966374,-0.451098617,1,1,-0.11681812,0.561110581,0
0,-0.62476346,0,0,2.516210871,4.467618937,0.010624582,0.898928335,0.935579636,-0.40773648,-0.34757915,-0.3726871,0,1,1,-0.130575036,0.594721026,-1.506308178
0,0,-1.769374412,0,2.495473081,4.242949087,-0.278366371,-0.595486705,-1.214850683,-0.595578153,-0.34757915,-0.3726871,-0.453830821,1,1,-0.130575036,1.186633741,-1.506308178
1,-0.520245927,0.288567872,-0.657447011,-0.501291216,0,-0.285083629,0,0.987087756,0.348029139,0.453843455,0.201910188,1.119333755,1,1,-0.017514459,-1.407392401,0.164946231
4,0,0,-0.67394101,-0.518415792,-0.284582059,-0.268331364,-0.942550307,-0.773323614,0.338678322,0.906436279,0.376894873,0,1,1,0.014217913,-0.741364806,-0.582163396
6,0.439304737,0,-0.609905485,-0.518350211,-0.287022078,-0.285570506,1.29090605,-0.603596267,0.311385158,-0.34732459,-0.375159644,0.29952178,1,0,-0.130491039,0.215622539,0.519546977
0,-0.453154375,0,-0.612816191,0.797205709,-0.286963037,-0.199817669,0,1.54154166,0.290479931,-0.044188312,-0.22948458,0.030151703,1,1,-0.099131988,-1.649470521,-1.506308178
6,0.655484087,0.205105044,-0.524524786,-0.518204578,-0.287022078,-0.290879643,1.441980795,-0.165001925,0,0.068135238,0.053500145,0.046198084,1,1,0.070916197,-0.189288716,0.519546977
1,2.319050563,0.559216462,0,-0.518429555,0,-0.288367244,-0.730229045,0.142057937,0.323269692,-0.257665274,-0.321373105,-0.003481053,1,1,-0.114027537,0.643545688,-1.506308178
5,0,0,-0.672970775,-0.162005672,0,-0.247925948,0.617194352,-0.497107947,-0.43195122,-0.172162508,-0.215651537,-0.096237034,0,1,-0.100769939,0,0.164946231
1,0.078521327,0,-0.634161366,-0.518199031,-0.287022078,-0.285187685,0.351792774,1.451638416,-0.160051224,-0.338724156,0,-0.470910891,1,1,-0.122459949,-0.741364806,-0.582163396
3,1.209743779,0.525963462,-0.354733622,-0.518429429,-0.287010426,-0.094365989,0.95200865,-0.832854596,0.310064654,-0.006572408,-0.168716635,-0.312984944,1,0,-0.087587005,0,0.164946231
2,-0.787597144,0.055356435,-0.595351957,-0.495458536,-0.287022078,-0.272842001,-0.958882712,1.18890655,-0.150130938,-0.24394385,-0.327223095,-0.343659853,1,1,-0.117504099,-0.887132279,0.164946231
0,-1.356916844,0,0,3.848576512,0,-0.284819827,-1.277364606,0.39754226,0,0.00229603,0.747818887,1.234575118,1,1,-0.115936146,-0.7961484,-1.506308178
1,-1.383812216,-4.803105061,-0.573036547,3.640039186,4.493743339,0,-1.22428429,0.400306439,-1.041594835,-0.34796694,-0.375140527,-0.512995802,1,0,-0.131111687,0.594721026,0.420668503
2,-1.369955291,-3.271044657,-0.581768664,3.743457563,4.624365344,-0.277588868,0,0.450803274,-1.099564954,-0.34796694,-0.375140527,-0.499526551,1,1,-0.131111687,0.343350353,0.164946231
0,-1.36791603,-2.015578744,-0.605054309,3.73043755,-0.233205811,-0.288684663,-0.844555878,-1.464840357,-0.389439249,-0.339302658,0,-0.423575355,1,1,-0.125194533,-0.571930656,-0.582163396
1,-1.382461062,-2.040463439,0,3.875123589,0.251140586,-0.282515089,-1.199785683,-0.530446646,-0.292638063,-0.3117174,-0.339307165,-0.412447421,1,1,-0.121279318,-1.581085127,-1.506308178
0,-1.231704538,-1.200329697,0,0,2.816556783,-0.114698823,-1.036461635,0.796056003,0.409655404,0,-0.23616242,-0.438009217,1,1,-0.125819847,0.418485081,-0.229419494
5,-1.255069067,-1.369677757,-0.549750902,2.263740044,-0.285658384,-0.277588868,0.212967333,0.144720988,-0.237944445,-0.340898771,-0.354950008,0,1,1,-0.128456434,0.594721026,0.164946231
0,-1.234429687,-1.187336803,-0.297489744,3.291266656,-0.149607728,0.109024813,0.204801131,1.678166275,-0.499684814,-0.348234437,-0.375045518,-0.494382532,1,0,-0.130887694,-2.133179002,-1.506308178
1,-1.329008567,-1.624030174,-0.602143604,2.939834914,3.929456273,-0.277588868,-1.812250863,-0.130415975,-0.043120608,-0.345514135,-0.371522084,-0.453265329,1,1,-0.130365043,-1.581085127,0.519546977
9,-0.318788174,0,0.053735407,-0.518428935,-0.287009016,-0.28611117,0.176219422,-0.032017936,0.406461435,1.275740179,0.637839885,1.329753681,1,1,0.031577388,1.85896338,0.996918809
5,0.417855933,0.714910972,2.042717613,-0.518416629,-0.287022078,0,-0.032018739,-1.177871358,0.837498651,0.820612503,0.906251773,0.407620585,1,1,0.022491663,-2.133179002,1.739527357
8,0.797898392,0.176696852,1.509088241,-0.125959886,-0.277878537,-0.291784281,0.862180424,-1.278494225,0.069402827,-0.107321965,-0.141679693,0.377601779,1,1,-0.070815512,0.748470886,1.739527357
9,-0.387480753,0.187267342,2.013610557,-0.518426643,-0.287000186,0,0.772352198,-0.72272565,0,-0.223492192,-0.205686625,0,1,1,-0.090988902,1.98321738,0.996918809
2,1.856299179,0.786481998,2.023312909,0,-0.286959379,-0.282201923,0.792767704,-1.390949126,0.118863949,-0.338664761,-0.339134527,-0.464694266,1,0,-0.12218929,-1.649470521,-0.582163396
3,0,0,2.362895237,-0.518426955,-0.286715377,3.69632049,1.037753776,0.5324814,-0.53120359,-0.300347281,-0.291620882,-0.31153879,1,1,-0.106584429,0.748470886,-0.582163396
5,0,0,2.663668156,0,-0.286457791,-0.2272286,-0.34233443,0.586450314,0,-0.05709707,-0.058774709,-0.361394952,1,1,-0.037109199,1.258319071,0.519546977
2,-0.913766115,-1.226535704,3.333130459,1.724266738,-0.276676815,-0.284550749,0.702939477,1.81688088,-0.168197082,-0.346255126,-0.364182658,-0.518366708,1,1,-0.128297772,-0.189288716,0.164946231
5,-0.462293831,0,1.19861297,0,0,-0.290699954,0.00064607,-1.175882498,0.243709335,0.820612503,0,-0.420353156,1,1,0.022491663,0.977210118,1.739527357
6,0.670992359,0.630347051,2.207657601,0,-0.287022078,-0.291724817,0.139471511,-1.050752823,0.130146004,-0.240949807,-0.265826586,0,1,0,-0.09964064,-0.503251347,0.519546977
8,-0.834037635,-0.297874108,-0.616697132,0,-0.287022078,-0.291147711,1.001005865,-0.883250303,0.039798781,-0.274213838,0,1.13247252,1,1,0,0.748470886,0
3,-1.300940638,0,-0.440114321,2.505830126,0,-0.274662473,-0.701647336,2.862212565,-0.285499089,0,1.095669678,3.383715199,1,1,0,0.343350353,-1.506308178
1,-0.887107171,-0.626660393,-0.623488778,0,0.206206616,1.751134658,-0.624068413,-1.405107118,0.057741127,-0.312289372,-0.30835343,-0.080717881,1,1,-0.106631095,-0.32999902,0.164946231
8,-0.053610398,-0.637451101,-0.468251143,0,-0.281891246,0,1.233742633,-0.10769577,0.1061541,-0.347995285,-0.37497542,-0.193332765,1,0,-0.131069688,0,1.739527357
6,-1.168298287,0.197397395,-0.539078314,0.594320291,-0.287022078,-0.282201923,0,0,-0.654472625,-0.336912723,0,-0.371982931,1,1,-0.117280106,1.074557179,-0.229419494
5,0.617055213,-0.738531413,-0.595351957,-0.491660648,-0.286994386,-0.283996556,1.168413014,1.316631857,-0.171919252,-0.346922219,-0.370026854,-0.439854613,1,1,-0.127999114,0.03550312,0.164946231
3,-0.01839965,-0.070388353,-0.558483019,-0.516254135,-0.287022078,-0.293453511,0.743770489,1.340262218,0.028359916,-0.345879634,-0.37201219,-0.328587185,1,1,-0.130495705,1.316763041,-0.229419494
4,-1.112152332,-1.058068518,-0.677821951,0.39932574,-0.279550499,-0.283996556,1.39298358,-0.898453289,-0.572915006,0,0,-0.480852536,1,1,-0.130845695,0.399575182,-1.506308178
6,-1.228946457,-1.315283777,-0.596322192,-0.404876772,-0.24287184,-0.288017095,1.217410229,0.043862155,-0.002457342,-0.348281697,-0.375612095,-0.431357307,1,1,-0.131139686,-0.189288716,0.420668503
6,-1.381223085,-2.231833353,0,1.916397591,-0.285668834,-0.233126975,0,-1.02044798,0,-0.345744654,-0.369058229,-0.449423628,1,0,-0.130635701,0.748470886,0.164946231
6,0,0,0,-0.493818347,-0.283772202,-0.280548859,0.629443656,0.088729504,0,-0.244202199,-0.237012285,1.32632933,1,0,0,0.748470886,0
5,-1.015831584,-1.230279419,-0.632220895,-0.025393579,-0.281535954,-0.285213568,-0.011603233,0.03543478,0.379944067,-0.346652892,-0.374901846,0.068678837,1,1,-0.130701033,0.561110581,0.164946231
6,1.032365757,0.130671177,-0.652595835,0,-0.286961992,0.360483472,1.605304843,0.301470177,-0.506666978,-0.33678403,-0.365432254,0.489920416,1,1,-0.127887118,0.399575182,0.996918809
5,0.319983796,0,-0.643863718,-0.502261074,-0.286999454,6.35374085,0.229299738,0,0.161615261,-0.156706487,-0.249276525,0,1,1,-0.109487008,0.343350353,-0.229419494
3,1.783137036,0.714690753,0,-0.488433201,-0.286970352,-0.257456848,0,0.541212161,-0.009167152,-0.259936956,-0.306423709,0,1,1,-0.114825513,-2.133179002,-0.582163396
2,-0.257454553,0.446464568,0,-0.508738656,0,-0.120517197,-0.481159871,-1.26521268,0.377740476,-0.347245847,-0.373188792,-0.25987143,1,1,-0.1295624,0.418485081,0.164946231
4,0.066163221,-0.814947247,-0.6516256,-0.518400972,-0.287022078,0.427784883,0,0.546336006,0.554886068,-0.345354744,-0.368588978,-0.390208499,1,0,-0.127672458,0.399575182,0.519546977
4,0,-0.14790528,-0.643863718,-0.437240255,0,7.481214208,0,0.034490914,0.580990778,-0.1516972,-0.297938964,0.004343328,1,0,-0.108469706,-2.133179002,-1.506308178
7,1.032365757,0.492490243,-0.615726897,-0.441800355,-0.286953632,-0.003126947,0.13538841,-0.030265042,0.595730902,-0.303447172,-0.341637197,-0.356316731,1,1,-0.122445949,-2.133179002,1.739527357
3,-1.242409521,-0.870662538,-0.659387482,-0.30780819,-0.287022078,-0.281227741,-1.53051688,-1.324777372,-0.40818215,-0.347556745,0,-0.397425227,1,1,-0.1295764,-0.472069723,0.420668503
4,1.084701029,0,-0.385781149,-0.51842942,-0.110943614,0.473398284,-0.093265257,1.744068353,-0.230788964,-0.232453929,-0.087320783,1.169639989,1,1,-0.061958447,1.272769871,-0.582163396
7,0.097189831,0.453291342,-0.58467937,-0.518429445,-0.285585236,-0.286372376,0,-0.291008047,0.02417557,-0.345859424,-0.372232332,0.36738459,1,1,-0.130323044,0.581856483,0.164946231
2,0.797898392,0.398016488,-0.403245383,-0.518318312,-0.285799456,-0.28725066,0.13538841,-0.043378038,-0.317504802,-0.328925324,-0.350078493,0.064069148,1,1,-0.123925238,0.06540828,-1.506308178
4,2.115681947,0.954949183,0,-0.518429406,-0.286824577,-0.287506228,-0.158594876,-0.630361612,-0.742599751,-0.337203754,-0.358557444,-0.248386216,1,0,0,0,-0.582163396
3,0.938348768,0.431269488,-0.134490226,0,-0.280334231,-0.292661784,0.192551827,0,0.394907026,-0.158268907,-0.278941269,-0.18937994,1,1,-0.094036143,-0.434908702,0.164946231
5,0.375464321,0.563620833,0.228377747,0,-0.287022078,-0.290673696,-0.415830252,-0.02969198,0,0,0,-0.27762783,1,1,-0.130813029,-1.349355791,0.420668503
5,0,0.537194607,-0.505120081,-0.518055397,-0.286989109,-0.292759148,1.233742633,0.912859431,0.104288888,-0.331386529,-0.35444484,-0.330633265,1,1,-0.12803178,1.596907265,0.996918809
8,0,-0.668061479,-0.512881963,0.022493732,0.481035317,-0.284276342,-1.073209546,0.238939049,0,-0.347357713,-0.374023595,-0.312465401,1,1,0,-0.7961484,0
6,0,0.401760203,0,-0.518425757,-0.286097274,-0.288232809,-0.379082341,-0.334998948,0.321949188,-0.332742421,0,0,1,0,-0.130360376,0.669841471,0.996918809
5,0,0.675051415,0,-0.506565526,-0.253426098,-0.292388109,0,-1.458300713,-0.177201267,-0.329983548,0,-0.385899081,1,1,-0.128549764,0,0.164946231
1,-1.379227225,0,-0.494447494,3.640039186,0,-0.279118593,-1.485602767,-0.015298022,0,-0.286062491,-0.23388279,0.267460046,1,1,-0.099253318,1.316763041,0
0,-1.25629178,-2.342162843,-0.531316432,3.255098897,3.244996962,-0.287610718,-1.330444921,-1.54665332,0.206141001,-0.278398181,-0.245680675,0.050050953,1,1,0,-0.32999902,-0.229419494
2,-1.366984331,-2.968244161,0,3.80895674,-0.195064186,-0.281227741,-0.534240187,1.650423354,0.137639863,-0.314747578,-0.330106958,-0.205102752,1,0,0,-2.133179002,0.164946231
2,0,-2.892488982,-0.618637602,3.73043755,1.087121424,-0.276374294,-0.938467206,-1.01161609,0.700422098,-0.276248508,-0.281906817,-0.071863046,1,1,0,-1.227327363,0.164946231
1,0,-2.737234909,-0.63125066,3.401155062,4.138451482,-0.285469555,-1.118123659,0.645812749,-0.721215841,-0.34347229,-0.365463538,-0.310442517,1,0,-0.131023023,-1.349355791,-0.229419494
2,-1.371038452,-2.647826181,-0.548780666,3.822136587,0.072449682,-0.283124391,0,0,0.505920134,-0.319318253,-0.34701446,-0.056628082,1,0,-0.12637983,0.684840777,0.996918809
2,-1.36601703,-2.327628419,-0.451757144,3.066064633,3.63686298,-0.280548859,-0.693481134,0.714007073,-0.452196194,-0.343402696,-0.369034476,-0.145926293,1,1,-0.129660397,0,-0.582163396
3,-0.972224313,-0.461496485,-0.63125066,0.385350013,-0.287022078,0,-0.326002026,0.135922808,1.170150078,0,-0.374931971,-0.258277316,1,1,-0.130822362,-0.230237646,0
3,0,-2.44082075,-0.597292427,3.901778035,4.457169177,-0.287527219,-0.640400818,0,-0.739182947,-0.343963585,-0.361864792,-0.405027172,1,1,-0.128745758,0.03550312,0.164946231
0,-1.0033429,-0.629963671,-0.628339955,0,-0.275109351,2.553813165,-1.375359035,-0.265355115,0,0.602691946,0.365289322,1.016950434,1,1,0.147895199,-0.741364806,-1.506308178
9,-1.301851857,-1.029880545,-0.043288115,-0.518418448,-0.279811743,-0.292936739,0.88259593,-0.318649839,0.028137081,-0.095571892,-0.074599459,0.793456127,1,0,0,0.971503171,0.996918809
7,2.60225824,0.649285846,0,-0.518424764,-0.286789571,0.463100597,1.282739848,0.186487062,1.073530462,-0.021897093,0.017571196,0.272278294,1,1,-0.033170652,-0.32999902,0.519546977
7,-0.144535194,-1.144614406,-0.50123914,-0.476622189,-0.284796279,0,1.568556932,-0.006331294,-0.063200519,-0.120812803,-0.173980351,0.183981569,1,1,-0.048742847,0.748470886,-1.506308178
0,1.930579499,0,0.28659186,-0.518397603,-0.275527341,-0.283420632,-0.61181911,2.524072541,0.471826375,-0.248801191,-0.261570889,-0.162320065,1,0,-0.096257409,-1.349355791,-1.506308178
2,-0.012471455,0,-0.511911728,-0.51840234,-0.286992662,-0.049197547,0,0,0.350670147,-0.32433008,-0.333731773,-0.500731432,1,1,-0.117644094,-0.32999902,-1.506308178
7,0,-0.63767132,-0.614756661,-0.515538098,-0.284994824,-0.222030776,0.462036506,0.48771518,-0.361848972,-0.323690816,-0.345330372,-0.258157718,1,1,-0.118194744,-2.133179002,-1.506308178
8,-0.850019897,-0.278274658,-0.486685612,-0.518142798,0.155525278,-0.291159488,0.821349412,-0.205824133,1.030292214,0,-0.269552783,-0.266835102,1,1,-0.089341618,0,0
7,1.752122029,1.020794528,0.170163634,-0.518429337,-0.286660516,-0.231201316,0.539615429,0.239410982,-0.302236476,-0.348101941,-0.375176445,1.300579304,1,0,-0.130887694,0.748470886,1.739527357
7,0.549105427,0.138599044,0,-0.418265043,3.840633309,-0.272842001,0,0.117753386,-0.117448468,-0.046083112,-0.050230873,0.372406132,1,1,-0.067908267,1.316763041,0.420668503
6,0.147747776,-1.139108942,-0.460489261,-0.049736526,-0.280699973,0.447827492,1.821709206,0,-0.01731301,1.311636938,1.614524636,0.550484713,1,1,0.458821119,0,0
